Civilité,Nom,Prénom,Mandat,Circonscription,Département,Candidat,Date de publication,dep_norm,dep_insee,reg_insee,norm,insee
Mme,PETITJEAN,Frédérique,Maire,Branne,Doubs,DUPONT-AIGNAN Nicolas,01/02/2022,DOUBS,25,27,25BRANNE,25087
Mme,VOIDEY,Martine,Conseillère départementale,,Doubs,MACRON Emmanuel,01/02/2022,DOUBS,25,27,25,
M.,MESNIER,Christian,Maire,Chouzelot,Doubs,MÉLENCHON Jean-Luc,01/02/2022,DOUBS,25,27,25CHOUZELOT,25154
M.,VIENET,Michel,Conseiller départemental,,Doubs,PÉCRESSE Valérie,01/02/2022,DOUBS,25,27,25,
M.,DUPONT,Marc,Maire,Berthelange,Doubs,ROUSSEL Fabien,01/02/2022,DOUBS,25,27,25BERTHELANGE,25055
Mme,MAURICE,Joëlle,Maire,Buffard,Doubs,THOUY Hélène,01/02/2022,DOUBS,25,27,25BUFFARD,25098
M.,ARNOUX,Denis,Maire,Pont-de-Roide-Vermondans,Doubs,ARTHAUD Nathalie,03/02/2022,DOUBS,25,27,25PONTDEROIDEVERMONDANS,25463
M.,DUCRET,Pascal,Maire,Sauvagney,Doubs,ARTHAUD Nathalie,03/02/2022,DOUBS,25,27,25SAUVAGNEY,25536
M.,FARINE,Marc,Maire,Roche-lès-Clerval,Doubs,ARTHAUD Nathalie,03/02/2022,DOUBS,25,27,25ROCHELESCLERVAL,25496
M.,GARNIER,Christophe,Maire,Éternoz,Doubs,ARTHAUD Nathalie,03/02/2022,DOUBS,25,27,25ETERNOZ,25223
M.,MAIRE,Thierry,Maire,Tressandans,Doubs,ARTHAUD Nathalie,03/02/2022,DOUBS,25,27,25TRESSANDANS,25570
M.,REIGNEY,Frédéric,Maire,Placey,Doubs,ARTHAUD Nathalie,03/02/2022,DOUBS,25,27,25PLACEY,25455
Mme,VIPREY,Maryse,Maire,Vorges-les-Pins,Doubs,HIDALGO Anne,03/02/2022,DOUBS,25,27,25VORGESLESPINS,25631
M.,MONNIER,Alain,Maire,Rurey,Doubs,JADOT Yannick,03/02/2022,DOUBS,25,27,25RUREY,25511
M.,DEVILLERS,Claude,Maire,Lomont-sur-Crête,Doubs,KUZMANOVIC Georges,03/02/2022,DOUBS,25,27,25LOMONTSURCRETE,25341
M.,GRENIER,Jean-Claude,Maire,L'Hôpital-du-Grosbois,Doubs,LASSALLE Jean,03/02/2022,DOUBS,25,27,25LHOPITALDUGROSBOIS,25305
M.,HUEBER,Claude,Maire,Onans,Doubs,LASSALLE Jean,03/02/2022,DOUBS,25,27,25ONANS,25431
M.,ALAUZET,Eric,Député,2ème circonscription,Doubs,MACRON Emmanuel,03/02/2022,DOUBS,25,27,25EMECIRCONSCRIPTION,
M.,ALPY,Philippe,Maire,Frasne,Doubs,MACRON Emmanuel,03/02/2022,DOUBS,25,27,25FRASNE,25259
Mme,BARTHELET,Catherine,Conseillère régionale,Bourgogne-Franche-Comté,Doubs,MACRON Emmanuel,03/02/2022,DOUBS,25,27,25BOURGOGNEFRANCHECOMTE,
M.,BLESSEMAILLE,Alain,Maire,Braillans,Doubs,MACRON Emmanuel,03/02/2022,DOUBS,25,27,25BRAILLANS,25086
M.,GOMES,Samuel,Maire,Badevel,Doubs,MACRON Emmanuel,03/02/2022,DOUBS,25,27,25BADEVEL,25040
M.,MICHAUD,Jean-Paul,Maire,Thoraise,Doubs,MACRON Emmanuel,03/02/2022,DOUBS,25,27,25THORAISE,25561
M.,TIROLE,Marc,Maire,Dampierre-les-Bois,Doubs,MACRON Emmanuel,03/02/2022,DOUBS,25,27,25DAMPIERRELESBOIS,25190
M.,CHOPARD,Félix,Maire,Chassagne-Saint-Denis,Doubs,MÉLENCHON Jean-Luc,03/02/2022,DOUBS,25,27,25CHASSAGNESAINTDENIS,25129
Mme,COREN-GASPERONI,Christine,Conseillère départementale,,Doubs,MÉLENCHON Jean-Luc,03/02/2022,DOUBS,25,27,25,
M.,BARBE,Nicolas,Maire,Chaffois,Doubs,PÉCRESSE Valérie,03/02/2022,DOUBS,25,27,25CHAFFOIS,25110
M.,BLOCH,Matthieu,Maire,Colombier-Fontaine,Doubs,PÉCRESSE Valérie,03/02/2022,DOUBS,25,27,25COLOMBIERFONTAINE,25159
M.,BOLE,Cédric,Maire,Morteau,Doubs,PÉCRESSE Valérie,03/02/2022,DOUBS,25,27,25MORTEAU,25411
Mme,DALPHIN,Marie-Laure,Conseillère départementale,,Doubs,PÉCRESSE Valérie,03/02/2022,DOUBS,25,27,25,
M.,DEMOUGE,Charles,Président d'un EPCI à fiscalité propre,CA Pays de Montbéliard Agglomération,Doubs,PÉCRESSE Valérie,03/02/2022,DOUBS,25,27,25CAPAYSDEMONTBELIARDAGGLOMERATION,
M.,GAUTIER,Philippe,Maire,Valentigney,Doubs,PÉCRESSE Valérie,03/02/2022,DOUBS,25,27,25VALENTIGNEY,25580
Mme,GENEVARD,Annie,Députée,5ème circonscription,Doubs,PÉCRESSE Valérie,03/02/2022,DOUBS,25,27,25EMECIRCONSCRIPTION,
M.,GUYON,Jean-Luc,Conseiller départemental,,Doubs,PÉCRESSE Valérie,03/02/2022,DOUBS,25,27,25,
M.,NORIS,Jean-Louis,Maire,Bourguignon,Doubs,PÉCRESSE Valérie,03/02/2022,DOUBS,25,27,25BOURGUIGNON,25082
M.,PELLEGRINI,Adrien,Maire,La Longeville,Doubs,PÉCRESSE Valérie,03/02/2022,DOUBS,25,27,25LALONGEVILLE,25347
M.,VIVOT,Romuald,Conseiller départemental,,Doubs,PÉCRESSE Valérie,03/02/2022,DOUBS,25,27,25,
M.,BOUVARD,Jacky,Maire,Trouvans,Doubs,POUTOU Philippe,03/02/2022,DOUBS,25,27,25TROUVANS,25572
M.,BRISEBARD,Philippe,Maire,Orsans,Doubs,POUTOU Philippe,03/02/2022,DOUBS,25,27,25ORSANS,25435
M.,HERGOTT,Michel,Maire,Ouhans,Doubs,POUTOU Philippe,03/02/2022,DOUBS,25,27,25OUHANS,25440
M.,HUGOT,Guy,Maire,Val-de-Roulans,Doubs,POUTOU Philippe,03/02/2022,DOUBS,25,27,25VALDEROULANS,25579
Mme,NEVERS,Danièle,Maire,Cuse-et-Adrisans,Doubs,POUTOU Philippe,03/02/2022,DOUBS,25,27,25CUSEETADRISANS,25184
M.,TOUBIN,Frédéric,Maire,Sombacour,Doubs,POUTOU Philippe,03/02/2022,DOUBS,25,27,25SOMBACOUR,25549
