Civilité,Nom,Prénom,Mandat,Circonscription,Département,Candidat,Date de publication,dep_norm,dep_insee,reg_insee,norm,insee
M.,GROSS,Jean-Luc,Maire,Beaupouyet,Dordogne,DUPONT-AIGNAN Nicolas,01/02/2022,DORDOGNE,24,75,24BEAUPOUYET,24029
M.,CHASSAING,Philippe,Député,1ère circonscription,Dordogne,MACRON Emmanuel,01/02/2022,DORDOGNE,24,75,24ERECIRCONSCRIPTION,
Mme,DUBOIS,Jacqueline,Députée,4ème circonscription,Dordogne,MACRON Emmanuel,01/02/2022,DORDOGNE,24,75,24EMECIRCONSCRIPTION,
M.,PEYRAT,Jerome,Maire,La Roque-Gageac,Dordogne,MACRON Emmanuel,01/02/2022,DORDOGNE,24,75,24LAROQUEGAGEAC,24355
M.,PEREA,Laurent,Maire,Saint-Capraise-de-Lalinde,Dordogne,ROUSSEL Fabien,01/02/2022,DORDOGNE,24,75,24SAINTCAPRAISEDELALINDE,24382
M.,PIEDFERT,Guy,Maire,Eygurande-et-Gardedeuil,Dordogne,DUPONT-AIGNAN Nicolas,03/02/2022,DORDOGNE,24,75,24EYGURANDEETGARDEDEUIL,24165
M.,ELIZABETH,Georges,Maire,Moulin-Neuf,Dordogne,EGGER Clara,03/02/2022,DORDOGNE,24,75,24MOULINNEUF,24297
M.,DELPY,Edmond Claude,Maire,Saint-Rabier,Dordogne,HIDALGO Anne,03/02/2022,DORDOGNE,24,75,24SAINTRABIER,24491
M.,DOBBELS,Stéphane,Conseiller départemental,,Dordogne,HIDALGO Anne,03/02/2022,DORDOGNE,24,75,24,
Mme,JOBELOT,Nelly,Maire,Saint-Agne,Dordogne,HIDALGO Anne,03/02/2022,DORDOGNE,24,75,24SAINTAGNE,24361
Mme,LABAILS,Delphine,Maire,Périgueux,Dordogne,HIDALGO Anne,03/02/2022,DORDOGNE,24,75,24PERIGUEUX,24322
M.,PELLERIN,Laurent,Maire,Villac,Dordogne,HIDALGO Anne,03/02/2022,DORDOGNE,24,75,24VILLAC,24580
M.,MAZET,Bernard,Maire,Groléjac,Dordogne,KAZIB Anasse,03/02/2022,DORDOGNE,24,75,24GROLEJAC,24207
M.,VEYRAC,Yves,Maire,Montaut,Dordogne,KUZMANOVIC Georges,03/02/2022,DORDOGNE,24,75,24MONTAUT,24287
M.,CALES,Michel,Maire,Alles-sur-Dordogne,Dordogne,LASSALLE Jean,03/02/2022,DORDOGNE,24,75,24ALLESSURDORDOGNE,24005
M.,GROSSOLEIL,Thierry,Maire,Razac-d'Eymet,Dordogne,LASSALLE Jean,03/02/2022,DORDOGNE,24,75,24RAZACDEYMET,24348
M.,MENARDIE,Hervé,Maire,Saint-Martial-de-Nabirat,Dordogne,LASSALLE Jean,03/02/2022,DORDOGNE,24,75,24SAINTMARTIALDENABIRAT,24450
M.,COLOMBIER,Jacques,Conseiller régional,Nouvelle-Aquitaine,Dordogne,LE PEN Marine,03/02/2022,DORDOGNE,24,75,24NOUVELLEAQUITAINE,
M.,POMEDIO,Lucien,Maire,Saint-Perdoux,Dordogne,LE PEN Marine,03/02/2022,DORDOGNE,24,75,24SAINTPERDOUX,24483
M.,CUBERTAFON,Jean-Pierre,Député,3ème circonscription,Dordogne,MACRON Emmanuel,03/02/2022,DORDOGNE,24,75,24EMECIRCONSCRIPTION,
M.,DELAGE,Hervé,Maire,Monsaguel,Dordogne,MACRON Emmanuel,03/02/2022,DORDOGNE,24,75,24MONSAGUEL,24282
M.,PASSERIEUX,Jean-Pierre,Maire délégué d'une commune associée ou d'une commune déléguée,Boulazac Isle Manoire,Dordogne,MACRON Emmanuel,03/02/2022,DORDOGNE,24,75,24BOULAZACISLEMANOIRE,24053
M.,TRIQUART,Stéphane,Maire,Mussidan,Dordogne,MACRON Emmanuel,03/02/2022,DORDOGNE,24,75,24MUSSIDAN,24299
M.,PARVAUD,Jean,Maire,Razac-sur-l'Isle,Dordogne,MÉLENCHON Jean-Luc,03/02/2022,DORDOGNE,24,75,24RAZACSURLISLE,24350
M.,DE MIRAS,Gilbert,Maire,Vélines,Dordogne,PÉCRESSE Valérie,03/02/2022,DORDOGNE,24,75,24VELINES,24568
M.,FERBER,Jacques,Maire,Salignac-Eyvigues,Dordogne,PÉCRESSE Valérie,03/02/2022,DORDOGNE,24,75,24SALIGNACEYVIGUES,24516
M.,PLANCHE,Jean-Pierre,Maire,Simeyrols,Dordogne,ROUSSEL Fabien,03/02/2022,DORDOGNE,24,75,24SIMEYROLS,24535
