Civilité,Nom,Prénom,Mandat,Circonscription,Département,Candidat,Date de publication,dep_norm,dep_insee,reg_insee,norm,insee
Mme,CREUZE,Catherine,Conseillère métropolitaine de Lyon,,Rhône,JADOT Yannick,01/02/2022,RHONE,69,84,69,69123
Mme,BRUGNERA,Anne,Députée,4ème circonscription,Rhône,MACRON Emmanuel,01/02/2022,RHONE,69,84,69EMECIRCONSCRIPTION,
M.,SOTTON,Martin,Maire,Thizy-les-Bourgs,Rhône,MACRON Emmanuel,01/02/2022,RHONE,69,84,69THIZYLESBOURGS,69248
M.,DEBÛ,Raphaël,Conseiller métropolitain de Lyon,,Rhône,ROUSSEL Fabien,01/02/2022,RHONE,69,84,69,69123
M.,FAYARD,Daniel,Maire,Taponas,Rhône,ZEMMOUR Éric,01/02/2022,RHONE,69,84,69TAPONAS,69242
M.,DEVINAZ,Gilbert-Luc,Sénateur,,Rhône,HIDALGO Anne,03/02/2022,RHONE,69,84,69,
Mme,GEOFFROY,Hélène,Maire,Vaulx-en-Velin,Rhône,HIDALGO Anne,03/02/2022,RHONE,69,84,69VAULXENVELIN,69256
Mme,LAURENT,Murielle,Maire,Feyzin,Rhône,HIDALGO Anne,03/02/2022,RHONE,69,84,69FEYZIN,69276
M.,LONGUEVAL,Jean-Michel,Conseiller métropolitain de Lyon,,Rhône,HIDALGO Anne,03/02/2022,RHONE,69,84,69,69123
Mme,SECHAUD,Joëlle,Conseillère métropolitaine de Lyon,,Rhône,HIDALGO Anne,03/02/2022,RHONE,69,84,69,69123
Mme,BOUAGGA,Yasmine,Maire d'arrondissement,,Rhône,JADOT Yannick,03/02/2022,RHONE,69,84,69,69123
M.,CHIHI,Mohamed,Conseiller métropolitain de Lyon,,Rhône,JADOT Yannick,03/02/2022,RHONE,69,84,69,69123
Mme,COLLIN,Blandine,Conseillère métropolitaine de Lyon,,Rhône,JADOT Yannick,03/02/2022,RHONE,69,84,69,69123
M.,JULIEN-LAFERRIERE,Hubert,Député,2ème circonscription,Rhône,JADOT Yannick,03/02/2022,RHONE,69,84,69EMECIRCONSCRIPTION,
M.,LUNGENSTRASS,Valentin,Conseiller métropolitain de Lyon,,Rhône,JADOT Yannick,03/02/2022,RHONE,69,84,69,69123
M.,MAIRE,Michaël,Conseiller métropolitain de Lyon,,Rhône,JADOT Yannick,03/02/2022,RHONE,69,84,69,69123
Mme,PASIECZNIK,Bénédicte,Conseillère régionale,Auvergne-Rhône-Alpes,Rhône,JADOT Yannick,03/02/2022,RHONE,69,84,69AUVERGNERHONEALPES,
Mme,VESSILLER,Béatrice,Conseillère métropolitaine de Lyon,,Rhône,JADOT Yannick,03/02/2022,RHONE,69,84,69,69123
Mme,WIDIEZ,Anaïs,Conseillère régionale,Auvergne-Rhône-Alpes,Rhône,JADOT Yannick,03/02/2022,RHONE,69,84,69AUVERGNERHONEALPES,
Mme,ZDOROVTZOFF,Sonia,Conseillère métropolitaine de Lyon,,Rhône,JADOT Yannick,03/02/2022,RHONE,69,84,69,69123
M.,BLEIN,Yves,Député,14ème circonscription,Rhône,MACRON Emmanuel,03/02/2022,RHONE,69,84,69EMECIRCONSCRIPTION,
M.,BONNELL,Bruno,Député,6ème circonscription,Rhône,MACRON Emmanuel,03/02/2022,RHONE,69,84,69EMECIRCONSCRIPTION,
Mme,CAZARIAN,Danièle,Députée,13ème circonscription,Rhône,MACRON Emmanuel,03/02/2022,RHONE,69,84,69EMECIRCONSCRIPTION,
M.,CORAZZOL,Guy,Conseiller métropolitain de Lyon,,Rhône,MACRON Emmanuel,03/02/2022,RHONE,69,84,69,69123
M.,DA PASSANO,Jean-Luc,Conseiller métropolitain de Lyon,,Rhône,MACRON Emmanuel,03/02/2022,RHONE,69,84,69,69123
M.,FUGIT,Jean-Luc,Député,11ème circonscription,Rhône,MACRON Emmanuel,03/02/2022,RHONE,69,84,69EMECIRCONSCRIPTION,
M.,KABALO,Prosper,Conseiller métropolitain de Lyon,,Rhône,MACRON Emmanuel,03/02/2022,RHONE,69,84,69,69123
Mme,PROST,Emilie,Conseillère métropolitaine de Lyon,,Rhône,MACRON Emmanuel,03/02/2022,RHONE,69,84,69,69123
M.,RUDIGOZ,Thomas,Député,1ère circonscription,Rhône,MACRON Emmanuel,03/02/2022,RHONE,69,84,69ERECIRCONSCRIPTION,
M.,TOURAINE,Jean-Louis,Député,3ème circonscription,Rhône,MACRON Emmanuel,03/02/2022,RHONE,69,84,69EMECIRCONSCRIPTION,
M.,BREAUD,Jérémie,Maire,Bron,Rhône,PÉCRESSE Valérie,03/02/2022,RHONE,69,84,69BRON,69029
Mme,CHAPOT,Pascale,Conseillère départementale,,Rhône,PÉCRESSE Valérie,03/02/2022,RHONE,69,84,69,
Mme,CORSALE,Doriane,Conseillère métropolitaine de Lyon,,Rhône,PÉCRESSE Valérie,03/02/2022,RHONE,69,84,69,69123
M.,MARGUIN,Christophe,Conseiller métropolitain de Lyon,,Rhône,PÉCRESSE Valérie,03/02/2022,RHONE,69,84,69,69123
Mme,NACHURY,Dominique,Conseillère métropolitaine de Lyon,,Rhône,PÉCRESSE Valérie,03/02/2022,RHONE,69,84,69,69123
Mme,SERRE,Nathalie,Députée,8ème circonscription,Rhône,PÉCRESSE Valérie,03/02/2022,RHONE,69,84,69EMECIRCONSCRIPTION,
M.,VIVIER-MERLE,Christian,Maire,Theizé,Rhône,PÉCRESSE Valérie,03/02/2022,RHONE,69,84,69THEIZE,69246
Mme,CHARNAY,Christiane,Conseillère métropolitaine de Lyon,,Rhône,ROUSSEL Fabien,03/02/2022,RHONE,69,84,69,69123
M.,MILLET,Pierre-Alain,Conseiller métropolitain de Lyon,,Rhône,ROUSSEL Fabien,03/02/2022,RHONE,69,84,69,69123
M.,THIEN,Jérémy,Maire,Jullié,Rhône,ZEMMOUR Éric,03/02/2022,RHONE,69,84,69JULLIE,69104
Mme,LOTTE,Catherine,Conseillère départementale,,Rhône,ASSELINEAU François,08/02/2022,RHONE,69,84,69,
M.,BOUCHUT,Fabrice,Maire,Larajasse,Rhône,DUPONT-AIGNAN Nicolas,08/02/2022,RHONE,69,84,69LARAJASSE,69110
Mme,CREDOZ,Dominique,Conseillère métropolitaine de Lyon,,Rhône,HIDALGO Anne,08/02/2022,RHONE,69,84,69,69123
M.,CROMBECQUE,Yann,Conseiller régional,Auvergne-Rhône-Alpes,Rhône,HIDALGO Anne,08/02/2022,RHONE,69,84,69AUVERGNERHONEALPES,
Mme,EDERY,Michèle,Conseillère métropolitaine de Lyon,,Rhône,HIDALGO Anne,08/02/2022,RHONE,69,84,69,69123
M.,GOMEZ,Stéphane,Conseiller métropolitain de Lyon,,Rhône,HIDALGO Anne,08/02/2022,RHONE,69,84,69,69123
Mme,VALLAUD-BELKACEM,Najat,Conseillère régionale,Auvergne-Rhône-Alpes,Rhône,HIDALGO Anne,08/02/2022,RHONE,69,84,69AUVERGNERHONEALPES,
M.,VAN STYVENDAEL,Cédric,Maire,Villeurbanne,Rhône,HIDALGO Anne,08/02/2022,RHONE,69,84,69VILLEURBANNE,69266
M.,ARTIGNY,Bertrand,Conseiller métropolitain de Lyon,,Rhône,JADOT Yannick,08/02/2022,RHONE,69,84,69,69123
M.,ATHANAZE,Pierre,Conseiller métropolitain de Lyon,,Rhône,JADOT Yannick,08/02/2022,RHONE,69,84,69,69123
Mme,AUGEY,Camille,Conseillère métropolitaine de Lyon,,Rhône,JADOT Yannick,08/02/2022,RHONE,69,84,69,69123
Mme,BAUME,Emeline,Conseillère métropolitaine de Lyon,,Rhône,JADOT Yannick,08/02/2022,RHONE,69,84,69,69123
Mme,BENAHMED,Fatiha,Conseillère métropolitaine de Lyon,,Rhône,JADOT Yannick,08/02/2022,RHONE,69,84,69,69123
M.,BEN ITAH,Yves,Conseiller métropolitain de Lyon,,Rhône,JADOT Yannick,08/02/2022,RHONE,69,84,69,69123
M.,BERZANE,Olivier,Maire d'arrondissement,,Rhône,JADOT Yannick,08/02/2022,RHONE,69,84,69,69123
M.,CAMUS,Jérémy,Conseiller métropolitain de Lyon,,Rhône,JADOT Yannick,08/02/2022,RHONE,69,84,69,69123
M.,DALBY,Hugo,Conseiller métropolitain de Lyon,,Rhône,JADOT Yannick,08/02/2022,RHONE,69,84,69,69123
M.,DOSSUS,Thomas,Sénateur,,Rhône,JADOT Yannick,08/02/2022,RHONE,69,84,69,
Mme,DROMAIN,Hélène,Conseillère métropolitaine de Lyon,,Rhône,JADOT Yannick,08/02/2022,RHONE,69,84,69,69123
Mme,DUBOIS BERTRAND,Véronique,Maire d'arrondissement,,Rhône,JADOT Yannick,08/02/2022,RHONE,69,84,69,69123
Mme,FRETY,Laurence,Conseillère métropolitaine de Lyon,,Rhône,JADOT Yannick,08/02/2022,RHONE,69,84,69,69123
M.,GIACALONE,Reynald,Conseiller régional,Auvergne-Rhône-Alpes,Rhône,JADOT Yannick,08/02/2022,RHONE,69,84,69AUVERGNERHONEALPES,
Mme,GIROMAGNY,Veronique Denise,Conseillère métropolitaine de Lyon,,Rhône,JADOT Yannick,08/02/2022,RHONE,69,84,69,69123
M.,GUELPA-BONARO,Philippe,Conseiller métropolitain de Lyon,,Rhône,JADOT Yannick,08/02/2022,RHONE,69,84,69,69123
M.,MONOT,Vincent,Conseiller métropolitain de Lyon,,Rhône,JADOT Yannick,08/02/2022,RHONE,69,84,69,69123
Mme,MOREIRA,Véronique,Conseillère métropolitaine de Lyon,,Rhône,JADOT Yannick,08/02/2022,RHONE,69,84,69,69123
Mme,PERCET,Joëlle,Conseillère métropolitaine de Lyon,,Rhône,JADOT Yannick,08/02/2022,RHONE,69,84,69,69123
M.,PEREZ,Eric,Conseiller métropolitain de Lyon,,Rhône,JADOT Yannick,08/02/2022,RHONE,69,84,69,69123
Mme,ROCH,Valérie,Conseillère métropolitaine de Lyon,,Rhône,JADOT Yannick,08/02/2022,RHONE,69,84,69,69123
M.,THEVENIEAU,François,Conseiller métropolitain de Lyon,,Rhône,JADOT Yannick,08/02/2022,RHONE,69,84,69,69123
Mme,VACHER,Lucie,Conseillère métropolitaine de Lyon,,Rhône,JADOT Yannick,08/02/2022,RHONE,69,84,69,69123
M.,ZINCK,Rémi,Maire d'arrondissement,,Rhône,JADOT Yannick,08/02/2022,RHONE,69,84,69,69123
M.,MARTINET,Guy,Maire,Loire-sur-Rhône,Rhône,LASSALLE Jean,08/02/2022,RHONE,69,84,69LOIRESURRHONE,69118
Mme,MOREL,Michèle,Conseillère régionale,Auvergne-Rhône-Alpes,Rhône,LE PEN Marine,08/02/2022,RHONE,69,84,69AUVERGNERHONEALPES,
M.,FIALAIRE,Bernard,Sénateur,,Rhône,MACRON Emmanuel,08/02/2022,RHONE,69,84,69,
M.,GASSILLOUD,Thomas,Député,10ème circonscription,Rhône,MACRON Emmanuel,08/02/2022,RHONE,69,84,69EMECIRCONSCRIPTION,
Mme,KHEDHER,Anissa,Députée,7ème circonscription,Rhône,MACRON Emmanuel,08/02/2022,RHONE,69,84,69EMECIRCONSCRIPTION,
M.,OUTREBON,Pascal,Maire,Taluyers,Rhône,MACRON Emmanuel,08/02/2022,RHONE,69,84,69TALUYERS,69241
Mme,PERRIET-ROUX,Isabelle,Conseillère métropolitaine de Lyon,,Rhône,MACRON Emmanuel,08/02/2022,RHONE,69,84,69,69123
M.,TROUVÉ,Michel,Maire,Montmelas-Saint-Sorlin,Rhône,MACRON Emmanuel,08/02/2022,RHONE,69,84,69MONTMELASSAINTSORLIN,69137
Mme,VULLIEN,Michèle,Conseillère métropolitaine de Lyon,,Rhône,MACRON Emmanuel,08/02/2022,RHONE,69,84,69,69123
M.,DE RAMBUTEAU,Charles,Maire,Le Breuil,Rhône,MAZUEL Philippe,08/02/2022,RHONE,69,84,69LEBREUIL,69026
M.,AZCUÉ,Mathieu,Conseiller métropolitain de Lyon,,Rhône,MÉLENCHON Jean-Luc,08/02/2022,RHONE,69,84,69,69123
M.,BOUMERTIT,Idir,Conseiller métropolitain de Lyon,,Rhône,MÉLENCHON Jean-Luc,08/02/2022,RHONE,69,84,69,69123
M.,DIOP,Moussa,Conseiller métropolitain de Lyon,,Rhône,MÉLENCHON Jean-Luc,08/02/2022,RHONE,69,84,69,69123
M.,LEGENDRE,Laurent,Conseiller métropolitain de Lyon,,Rhône,MÉLENCHON Jean-Luc,08/02/2022,RHONE,69,84,69,69123
Mme,BRAMET-REYNAUD,Nathalie,Conseillère métropolitaine de Lyon,,Rhône,PÉCRESSE Valérie,08/02/2022,RHONE,69,84,69,69123
M.,COCHET,Philippe,Maire,Caluire-et-Cuire,Rhône,PÉCRESSE Valérie,08/02/2022,RHONE,69,84,69CALUIREETCUIRE,69034
Mme,CRESPY,Chantal,Conseillère métropolitaine de Lyon,,Rhône,PÉCRESSE Valérie,08/02/2022,RHONE,69,84,69,69123
Mme,FONTAINE,Myriam,Conseillère métropolitaine de Lyon,,Rhône,PÉCRESSE Valérie,08/02/2022,RHONE,69,84,69,69123
M.,GASCON,Gilles,Maire,Saint-Priest,Rhône,PÉCRESSE Valérie,08/02/2022,RHONE,69,84,69SAINTPRIEST,69290
M.,MICHEL,Sébastien,Maire,Écully,Rhône,PÉCRESSE Valérie,08/02/2022,RHONE,69,84,69ECULLY,69081
M.,OLIVER,Pierre,Maire d'arrondissement,,Rhône,PÉCRESSE Valérie,08/02/2022,RHONE,69,84,69,69123
M.,PERRUT,Bernard,Député,9ème circonscription,Rhône,PÉCRESSE Valérie,08/02/2022,RHONE,69,84,69EMECIRCONSCRIPTION,
Mme,POUZERGUE,Clotilde,Maire,Oullins,Rhône,PÉCRESSE Valérie,08/02/2022,RHONE,69,84,69OULLINS,69149
M.,SEGUIN,Luc,Conseiller métropolitain de Lyon,,Rhône,PÉCRESSE Valérie,08/02/2022,RHONE,69,84,69,69123
M.,VIDAL,Paul,Conseiller régional,Auvergne-Rhône-Alpes,Rhône,PÉCRESSE Valérie,08/02/2022,RHONE,69,84,69AUVERGNERHONEALPES,
Mme,ARTHAUD,Léna,Conseillère métropolitaine de Lyon,,Rhône,ROUSSEL Fabien,08/02/2022,RHONE,69,84,69,69123
M.,BELLOT,Eric,Maire,Neuville-sur-Saône,Rhône,ROUSSEL Fabien,08/02/2022,RHONE,69,84,69NEUVILLESURSAONE,69143
Mme,BURRICAND,Marie-Christine,Conseillère métropolitaine de Lyon,,Rhône,ROUSSEL Fabien,08/02/2022,RHONE,69,84,69,69123
Mme,PICARD,Michèle,Maire,Vénissieux,Rhône,ROUSSEL Fabien,08/02/2022,RHONE,69,84,69VENISSIEUX,69259
Mme,ARNOUX,Marie-Luce,Maire,Chambost-Longessaigne,Rhône,TAUBIRA Christiane,08/02/2022,RHONE,69,84,69CHAMBOSTLONGESSAIGNE,69038
M.,CHAVEROT,Bernard,Conseiller régional,Auvergne-Rhône-Alpes,Rhône,TAUBIRA Christiane,08/02/2022,RHONE,69,84,69AUVERGNERHONEALPES,
Mme,PRELE,Evelyne,Maire,Saint-Appolinaire,Rhône,THOUY Hélène,08/02/2022,RHONE,69,84,69SAINTAPPOLINAIRE,69181
M.,GIRARD,Christophe,Conseiller métropolitain de Lyon,,Rhône,ZEMMOUR Éric,08/02/2022,RHONE,69,84,69,69123
Mme,LECERF,Muriel,Conseillère métropolitaine de Lyon,,Rhône,HIDALGO Anne,10/02/2022,RHONE,69,84,69,69123
M.,BADOUARD,Benjamin,Conseiller métropolitain de Lyon,,Rhône,JADOT Yannick,10/02/2022,RHONE,69,84,69,69123
M.,BAGNON,Fabien,Conseiller métropolitain de Lyon,,Rhône,JADOT Yannick,10/02/2022,RHONE,69,84,69,69123
Mme,DUBOT,Fanny,Maire d'arrondissement,,Rhône,JADOT Yannick,10/02/2022,RHONE,69,84,69,69123
Mme,ETIENNE,Christine,Conseillère métropolitaine de Lyon,,Rhône,JADOT Yannick,10/02/2022,RHONE,69,84,69,69123
M.,GODINOT,Sylvain,Conseiller métropolitain de Lyon,,Rhône,JADOT Yannick,10/02/2022,RHONE,69,84,69,69123
Mme,GROSPERRIN,Anne,Conseillère métropolitaine de Lyon,,Rhône,JADOT Yannick,10/02/2022,RHONE,69,84,69,69123
Mme,GUERIN,Monique,Conseillère métropolitaine de Lyon,,Rhône,JADOT Yannick,10/02/2022,RHONE,69,84,69,69123
Mme,KHELIFI,Zemorda,Conseillère métropolitaine de Lyon,,Rhône,JADOT Yannick,10/02/2022,RHONE,69,84,69,69123
M.,PORTIER,Elie,Conseiller métropolitain de Lyon,,Rhône,JADOT Yannick,10/02/2022,RHONE,69,84,69,69123
Mme,ASTI-LAPPERRIERE,Florence,Conseillère métropolitaine de Lyon,,Rhône,MACRON Emmanuel,10/02/2022,RHONE,69,84,69,69123
