Civilité,Nom,Prénom,Mandat,Circonscription,Département,Candidat,Date de publication,dep_norm,dep_insee,reg_insee,norm,insee
Mme,HAYER,Valérie,Représentante française au Parlement européen,,Parlement européen,MACRON Emmanuel,01/02/2022,PARLEMENTEUROPEEN,,,,
Mme,GUILLAUME,Sylvie,Représentante française au Parlement européen,,Parlement européen,HIDALGO Anne,03/02/2022,PARLEMENTEUROPEEN,,,,
M.,OLIVIER,Philippe,Représentant français au Parlement européen,,Parlement européen,LE PEN Marine,03/02/2022,PARLEMENTEUROPEEN,,,,
M.,ROHFRITSCH,Teva,Sénateur,,Polynésie française,MACRON Emmanuel,03/02/2022,POLYNESIEFRANCAISE,,,,
M.,ANGLADE,Pieyre-Alexandre,Député,4ème circonscription,Français de l'étranger,MACRON Emmanuel,03/02/2022,FRANCAISDELETRANGER,,,,
Mme,BOULO,Anne,Présidente du conseil consulaire,Congo,Français de l'étranger,MACRON Emmanuel,03/02/2022,FRANCAISDELETRANGER,,,,
Mme,CAZEBONNE,Samantha,Sénatrice,,Français de l'étranger,MACRON Emmanuel,03/02/2022,FRANCAISDELETRANGER,,,,
M.,EL GUERRAB,M'Jid,Député,9ème circonscription,Français de l'étranger,MACRON Emmanuel,03/02/2022,FRANCAISDELETRANGER,,,,
Mme,GENETET,Anne,Députée,11ème circonscription,Français de l'étranger,MACRON Emmanuel,03/02/2022,FRANCAISDELETRANGER,,,,
Mme,LAKRAFI,Amal Amélia,Députée,10ème circonscription,Français de l'étranger,MACRON Emmanuel,03/02/2022,FRANCAISDELETRANGER,,,,
M.,LESCURE,Roland,Député,1ère circonscription,Français de l'étranger,MACRON Emmanuel,03/02/2022,FRANCAISDELETRANGER,,,,
M.,BOYER,Gilles,Représentant français au Parlement européen,,Parlement européen,MACRON Emmanuel,03/02/2022,PARLEMENTEUROPEEN,,,,
M.,SÉJOURNÉ,Stéphane,Représentant français au Parlement européen,,Parlement européen,MACRON Emmanuel,03/02/2022,PARLEMENTEUROPEEN,,,,
Mme,TRILLET-LENOIR,Véronique,Représentante française au Parlement européen,,Parlement européen,MACRON Emmanuel,03/02/2022,PARLEMENTEUROPEEN,,,,
M.,DANJEAN,Arnaud,Représentant français au Parlement européen,,Parlement européen,PÉCRESSE Valérie,03/02/2022,PARLEMENTEUROPEEN,,,,
M.,AHMAR,Samy,Conseiller à l'Assemblée des Français de l'étranger,Europe du Nord,Français de l'étranger,HIDALGO Anne,08/02/2022,FRANCAISDELETRANGER,,,,
M.,CHANTREL,Yan,Sénateur,,Français de l'étranger,HIDALGO Anne,08/02/2022,FRANCAISDELETRANGER,,,,
M.,ALFONSI,François,Représentant français au Parlement européen,,Parlement européen,JADOT Yannick,08/02/2022,PARLEMENTEUROPEEN,,,,
M.,CORMAND,David,Représentant français au Parlement européen,,Parlement européen,JADOT Yannick,08/02/2022,PARLEMENTEUROPEEN,,,,
M.,GRUFFAT,Claude,Représentant français au Parlement européen,,Parlement européen,JADOT Yannick,08/02/2022,PARLEMENTEUROPEEN,,,,
M.,SATOURI,Mounir,Représentant français au Parlement européen,,Parlement européen,JADOT Yannick,08/02/2022,PARLEMENTEUROPEEN,,,,
Mme,GROMIER-HEIM,Laurence,Présidente du conseil consulaire,Allemagne - 3e circonscription,Français de l'étranger,MACRON Emmanuel,08/02/2022,FRANCAISDELETRANGER,,,,
M.,HOLROYD,Alexandre,Député,3ème circonscription,Français de l'étranger,MACRON Emmanuel,08/02/2022,FRANCAISDELETRANGER,,,,
M.,LE CARDINAL,Hugues,Conseiller à l'Assemblée des Français de l'étranger,Europe du Sud,Français de l'étranger,MACRON Emmanuel,08/02/2022,FRANCAISDELETRANGER,,,,
M.,MASSON,Thierry,Conseiller à l'Assemblée des Français de l'étranger,Benelux,Français de l'étranger,MACRON Emmanuel,08/02/2022,FRANCAISDELETRANGER,,,,
M.,PETIT,Frédéric,Député,7ème circonscription,Français de l'étranger,MACRON Emmanuel,08/02/2022,FRANCAISDELETRANGER,,,,
M.,TRESSARD,Fabrice,Président du conseil consulaire,"Autriche, Slovaquie, Slovénie",Français de l'étranger,MACRON Emmanuel,08/02/2022,FRANCAISDELETRANGER,,,,
M.,VOJETTA,Stéphane,Député,5ème circonscription,Français de l'étranger,MACRON Emmanuel,08/02/2022,FRANCAISDELETRANGER,,,,
Mme,BRUNET,Sylvie,Représentante française au Parlement européen,,Parlement européen,MACRON Emmanuel,08/02/2022,PARLEMENTEUROPEEN,,,,
Mme,CICUREL,Ilana,Représentante française au Parlement européen,,Parlement européen,MACRON Emmanuel,08/02/2022,PARLEMENTEUROPEEN,,,,
Mme,LOISEAU,Nathalie,Représentante française au Parlement européen,,Parlement européen,MACRON Emmanuel,08/02/2022,PARLEMENTEUROPEEN,,,,
M.,OGONOWSKI,Philippe,Président du conseil consulaire,Espagne - 1re circonscription,Français de l'étranger,MÉLENCHON Jean-Luc,08/02/2022,FRANCAISDELETRANGER,,,,
