Civilité,Nom,Prénom,Mandat,Circonscription,Département,Candidat,Date de publication,dep_norm,dep_insee,reg_insee,norm,insee
M.,AZEROT,Bruno Nestor,Maire,Sainte-Marie,Martinique,MACRON Emmanuel,08/02/2022,MARTINIQUE,972,2,972SAINTEMARIE,97228
M.,MONPLAISIR,Ralph,Maire,Case-Pilote,Martinique,MACRON Emmanuel,10/02/2022,MARTINIQUE,972,2,972CASEPILOTE,97205
M.,RAPHA,Christian,Maire,Saint-Pierre,Martinique,MACRON Emmanuel,10/02/2022,MARTINIQUE,972,2,972SAINTPIERRE,97225
M.,MONTHIEUX,Alfred,Maire,Le Robert,Martinique,ARTHAUD Nathalie,15/02/2022,MARTINIQUE,972,2,972LEROBERT,97222
M.,COUTURIER,Gilbert,Maire,Gros-Morne,Martinique,ARTHAUD Nathalie,17/02/2022,MARTINIQUE,972,2,972GROSMORNE,97212
Mme,BEAULIEU,Lydia,Membre d'une assemblée d'une collectivité territoriale d'outre-mer à statut particulier,,Martinique,MACRON Emmanuel,22/02/2022,MARTINIQUE,972,2,972,
M.,LISLET,Claude,Membre d'une assemblée d'une collectivité territoriale d'outre-mer à statut particulier,,Martinique,MACRON Emmanuel,22/02/2022,MARTINIQUE,972,2,972,
M.,BOUTRIN,Louis,Membre d'une assemblée d'une collectivité territoriale d'outre-mer à statut particulier,,Martinique,JADOT Yannick,24/02/2022,MARTINIQUE,972,2,972,
M.,ROSE,Johnny,Membre d'une assemblée d'une collectivité territoriale d'outre-mer à statut particulier,,Martinique,MACRON Emmanuel,24/02/2022,MARTINIQUE,972,2,972,
M.,NARCISSOT,Marius,Membre d'une assemblée d'une collectivité territoriale d'outre-mer à statut particulier,,Martinique,MÉLENCHON Jean-Luc,24/02/2022,MARTINIQUE,972,2,972,
