Civilité,Nom,Prénom,Mandat,Circonscription,Département,Candidat,Date de publication,dep_norm,dep_insee,reg_insee,norm,insee
M.,DELEPIERRE,Richard,Maire,Le Chesnay-Rocquencourt,Yvelines,MACRON Emmanuel,01/02/2022,YVELINES,78,11,78LECHESNAYROCQUENCOURT,78158
M.,FOURGOUS,Jean-Michel,Maire,Élancourt,Yvelines,PÉCRESSE Valérie,01/02/2022,YVELINES,78,11,78ELANCOURT,78208
M.,TRIGANCE,Yannick,Conseiller régional,Île-De-France,Yvelines,HIDALGO Anne,03/02/2022,YVELINES,78,11,78ILEDEFRANCE,
M.,HULEUX,Jacques,Conseiller régional,Île-De-France,Yvelines,JADOT Yannick,03/02/2022,YVELINES,78,11,78ILEDEFRANCE,
M.,BATTEUX,Jean-Claude,Maire,Saint-Hilarion,Yvelines,LASSALLE Jean,03/02/2022,YVELINES,78,11,78SAINTHILARION,78557
M.,FOURNIER,Jean-Louis,Maire,Saint-Illiers-la-Ville,Yvelines,LE PEN Marine,03/02/2022,YVELINES,78,11,78SAINTILLIERSLAVILLE,78558
M.,MORIN,Laurent,Conseiller régional,Île-De-France,Yvelines,LE PEN Marine,03/02/2022,YVELINES,78,11,78ILEDEFRANCE,
M.,BAICHERE,Didier,Député,1ère circonscription,Yvelines,MACRON Emmanuel,03/02/2022,YVELINES,78,11,78ERECIRCONSCRIPTION,
M.,BARROT,Jean-Noël,Député,2ème circonscription,Yvelines,MACRON Emmanuel,03/02/2022,YVELINES,78,11,78EMECIRCONSCRIPTION,
Mme,BOULARAN,Laurence,Conseillère départementale,,Yvelines,MACRON Emmanuel,03/02/2022,YVELINES,78,11,78,
Mme,BRAUN-PIVET,Yaël,Députée,5ème circonscription,Yvelines,MACRON Emmanuel,03/02/2022,YVELINES,78,11,78EMECIRCONSCRIPTION,
M.,BUHOT,Christophe,Maire,Le Mesnil-Saint-Denis,Yvelines,MACRON Emmanuel,03/02/2022,YVELINES,78,11,78LEMESNILSAINTDENIS,78397
M.,DUMONT,Didier,Maire,Bennecourt,Yvelines,MACRON Emmanuel,03/02/2022,YVELINES,78,11,78BENNECOURT,78057
Mme,GRANJUS,Florence,Députée,12ème circonscription,Yvelines,MACRON Emmanuel,03/02/2022,YVELINES,78,11,78EMECIRCONSCRIPTION,
Mme,GRIGNON,Anne,Maire,Lévis-Saint-Nom,Yvelines,MACRON Emmanuel,03/02/2022,YVELINES,78,11,78LEVISSAINTNOM,78334
Mme,LEBEC,Marie,Députée,4ème circonscription,Yvelines,MACRON Emmanuel,03/02/2022,YVELINES,78,11,78EMECIRCONSCRIPTION,
M.,LÉVRIER,Martin,Sénateur,,Yvelines,MACRON Emmanuel,03/02/2022,YVELINES,78,11,78,
M.,MILLIENNE,Bruno,Député,9ème circonscription,Yvelines,MACRON Emmanuel,03/02/2022,YVELINES,78,11,78EMECIRCONSCRIPTION,
M.,OLIVE,Karl,Maire,Poissy,Yvelines,MACRON Emmanuel,03/02/2022,YVELINES,78,11,78POISSY,78498
Mme,PIRON,Béatrice,Députée,3ème circonscription,Yvelines,MACRON Emmanuel,03/02/2022,YVELINES,78,11,78EMECIRCONSCRIPTION,
Mme,POUZYREFF,Natalia,Députée,6ème circonscription,Yvelines,MACRON Emmanuel,03/02/2022,YVELINES,78,11,78EMECIRCONSCRIPTION,
Mme,GARNIER,Julie,Conseillère régionale,Île-De-France,Yvelines,MÉLENCHON Jean-Luc,03/02/2022,YVELINES,78,11,78ILEDEFRANCE,
M.,BAX DE KEATING,Geoffroy,Maire,Le Perray-en-Yvelines,Yvelines,PÉCRESSE Valérie,03/02/2022,YVELINES,78,11,78LEPERRAYENYVELINES,78486
M.,BENASSAYA,Philippe,Député,11ème circonscription,Yvelines,PÉCRESSE Valérie,03/02/2022,YVELINES,78,11,78EMECIRCONSCRIPTION,
Mme,BERNARD,Laurence,Maire,Le Pecq,Yvelines,PÉCRESSE Valérie,03/02/2022,YVELINES,78,11,78LEPECQ,78481
M.,BOUTON,Rémy,Maire,Arnouville-lès-Mantes,Yvelines,PÉCRESSE Valérie,03/02/2022,YVELINES,78,11,78ARNOUVILLELESMANTES,78020
Mme,BRAU,Sonia,Maire,Saint-Cyr-l'École,Yvelines,PÉCRESSE Valérie,03/02/2022,YVELINES,78,11,78SAINTCYRLECOLE,78545
