Civilité,Nom,Prénom,Mandat,Circonscription,Département,Candidat,Date de publication,dep_norm,dep_insee,reg_insee,norm,insee
M.,GUEYRAUD,Jean-Marie,Maire,Saint-Auban-d'Oze,Hautes-Alpes,ARTHAUD Nathalie,01/02/2022,HAUTESALPES,05,93,05SAINTAUBANDOZE,05131
M.,SARRET,Jean,Maire,Valserres,Hautes-Alpes,DUPONT-AIGNAN Nicolas,01/02/2022,HAUTESALPES,05,93,05VALSERRES,05176
M.,GALLAND,Daniel,Conseiller départemental,,Hautes-Alpes,PÉCRESSE Valérie,01/02/2022,HAUTESALPES,05,93,05,
M.,LESBROS,Georges,Maire,Montmaur,Hautes-Alpes,ARTHAUD Nathalie,03/02/2022,HAUTESALPES,05,93,05MONTMAUR,05087
M.,MARTINEZ,Gérald,Maire,Saint-Léger-les-Mélèzes,Hautes-Alpes,LASSALLE Jean,03/02/2022,HAUTESALPES,05,93,05SAINTLEGERLESMELEZES,05149
M.,BRIOULLE,Jean-Pierre,Maire,Saint-Pierre-d'Argençon,Hautes-Alpes,MACRON Emmanuel,03/02/2022,HAUTESALPES,05,93,05SAINTPIERREDARGENCON,05154
M.,DROUILLARD,Dominique,Maire,Le Bersac,Hautes-Alpes,DUPONT-AIGNAN Nicolas,08/02/2022,HAUTESALPES,05,93,05LEBERSAC,05021
M.,ESPITALLIER,Martial,Maire,Nossage-et-Bénévent,Hautes-Alpes,DUPONT-AIGNAN Nicolas,08/02/2022,HAUTESALPES,05,93,05NOSSAGEETBENEVENT,05094
Mme,BARTHELEMY,Monique,Maire,Châteauneuf-d'Oze,Hautes-Alpes,LASSALLE Jean,08/02/2022,HAUTESALPES,05,93,05CHATEAUNEUFDOZE,05035
M.,DEPEYRE,Jean Henri François,Maire,Sigottier,Hautes-Alpes,LASSALLE Jean,08/02/2022,HAUTESALPES,05,93,05SIGOTTIER,05167
M.,ALBRAND,Louis,Conseiller régional,Provence-Alpes-Cote D'Azur,Hautes-Alpes,LE PEN Marine,08/02/2022,HAUTESALPES,05,93,05PROVENCEALPESCOTEDAZUR,
Mme,BOYER,Pascale,Députée,1ère circonscription,Hautes-Alpes,MACRON Emmanuel,08/02/2022,HAUTESALPES,05,93,05ERECIRCONSCRIPTION,
Mme,EYMEOUD,Chantal,Maire,Embrun,Hautes-Alpes,MACRON Emmanuel,08/02/2022,HAUTESALPES,05,93,05EMBRUN,05046
M.,FINE,Sébastien,Maire,Villar-Saint-Pancrace,Hautes-Alpes,MACRON Emmanuel,08/02/2022,HAUTESALPES,05,93,05VILLARSAINTPANCRACE,05183
M.,AQUINO,Roger,Maire,La Haute-Beaume,Hautes-Alpes,MÉLENCHON Jean-Luc,08/02/2022,HAUTESALPES,05,93,05LAHAUTEBEAUME,05066
Mme,DESREUMAUX,Catherine,Maire,Montclus,Hautes-Alpes,MÉLENCHON Jean-Luc,08/02/2022,HAUTESALPES,05,93,05MONTCLUS,05081
M.,GILARDEAU-TRUFFINET,Christian,Maire,Veynes,Hautes-Alpes,MÉLENCHON Jean-Luc,08/02/2022,HAUTESALPES,05,93,05VEYNES,05179
Mme,PRUNSTER,Magali,Maire,La Piarre,Hautes-Alpes,MÉLENCHON Jean-Luc,08/02/2022,HAUTESALPES,05,93,05LAPIARRE,05102
Mme,ASSO,Catherine,Conseillère départementale,,Hautes-Alpes,PÉCRESSE Valérie,08/02/2022,HAUTESALPES,05,93,05,
Mme,LESBROS,Rolande,Maire déléguée d'une commune associée ou d'une commune déléguée,Gap,Hautes-Alpes,PÉCRESSE Valérie,08/02/2022,HAUTESALPES,05,93,05GAP,05061
M.,ANTOINE,Mathieu,Maire,Saint-Véran,Hautes-Alpes,POUTOU Philippe,08/02/2022,HAUTESALPES,05,93,05SAINTVERAN,05157
